               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.049407,            0.052237,           0.0056824,             0.79777,              0.7514,             0.73848,             0.36658,            0.028093,            0.061753,           0.0030704,            0.008812,            0.008812,            0.008812
                  62,            0.049114,            0.050139,           0.0050285,             0.89761,             0.74467,             0.75092,             0.39252,             0.02574,            0.060014,            0.003071,           0.0087922,           0.0087922,           0.0087922
                  63,              0.0499,            0.052675,           0.0048486,             0.89129,             0.74438,             0.75252,             0.35835,            0.030556,            0.061705,           0.0029903,           0.0087724,           0.0087724,           0.0087724
                  64,            0.051735,            0.049991,           0.0054579,             0.90149,             0.73431,             0.74409,             0.35158,            0.029134,            0.062452,           0.0029863,           0.0087526,           0.0087526,           0.0087526
                  65,            0.047043,              0.0496,           0.0048783,             0.84484,             0.71522,             0.72054,             0.36744,            0.027841,            0.061466,           0.0030046,           0.0087328,           0.0087328,           0.0087328
                  66,            0.050968,            0.052097,           0.0053015,             0.82966,             0.73724,             0.73203,             0.36951,            0.030628,             0.06179,           0.0031586,            0.008713,            0.008713,            0.008713
                  67,            0.047617,            0.052503,           0.0048255,             0.81796,             0.73391,             0.72583,             0.34836,            0.028395,            0.061168,           0.0032427,           0.0086932,           0.0086932,           0.0086932
                  68,            0.046571,            0.052973,           0.0046909,             0.83456,             0.73902,                0.74,             0.36589,            0.028553,            0.062442,           0.0032164,           0.0086734,           0.0086734,           0.0086734
                  69,            0.049275,            0.051989,           0.0049796,             0.86645,             0.73373,             0.74625,             0.34801,            0.029899,            0.062009,           0.0032433,           0.0086536,           0.0086536,           0.0086536
                  70,            0.050781,            0.051057,           0.0051845,              0.8421,             0.69985,              0.6982,             0.30604,            0.032059,            0.063692,           0.0031523,           0.0086338,           0.0086338,           0.0086338
                  71,            0.049023,              0.0528,           0.0074038,             0.82062,             0.74197,             0.72726,             0.37431,            0.026424,            0.061622,           0.0030212,            0.008614,            0.008614,            0.008614
                  72,            0.051672,            0.051714,           0.0059853,             0.83854,             0.74302,             0.74611,              0.3679,            0.028403,            0.061884,           0.0030693,           0.0085942,           0.0085942,           0.0085942
                  73,            0.046879,            0.050641,            0.005563,                0.81,              0.7605,             0.74059,             0.37171,            0.026788,            0.060748,           0.0030499,           0.0085744,           0.0085744,           0.0085744
                  74,            0.051692,            0.052501,           0.0058976,             0.75895,             0.73213,             0.71297,             0.36181,            0.027367,            0.061009,            0.003031,           0.0085546,           0.0085546,           0.0085546
                  75,            0.045292,            0.051182,           0.0048792,             0.83948,              0.7127,             0.72294,             0.35878,            0.027741,            0.061569,           0.0031105,           0.0085348,           0.0085348,           0.0085348
                  76,            0.044232,            0.050822,           0.0041605,             0.78475,             0.68987,             0.69482,             0.35115,            0.026726,            0.062027,           0.0034796,            0.008515,            0.008515,            0.008515
                  77,            0.046405,            0.049328,           0.0049084,             0.85771,             0.72437,             0.73412,             0.36377,            0.031017,            0.062285,           0.0031734,           0.0084952,           0.0084952,           0.0084952
                  78,            0.048241,            0.048624,            0.005055,             0.83233,             0.72825,              0.7249,             0.36212,            0.027951,              0.0609,           0.0032415,           0.0084754,           0.0084754,           0.0084754
                  79,            0.047218,             0.05231,           0.0040544,              0.7828,             0.69332,             0.70067,             0.32626,            0.029586,            0.062845,            0.003154,           0.0084556,           0.0084556,           0.0084556
                  80,            0.045544,             0.04798,           0.0045806,             0.78263,             0.69489,             0.70258,             0.35098,             0.02828,            0.061509,            0.003041,           0.0084358,           0.0084358,           0.0084358
                  81,             0.04517,            0.049575,           0.0042833,             0.78561,             0.71187,             0.70926,             0.36639,            0.029109,            0.062094,           0.0029755,            0.008416,            0.008416,            0.008416
                  82,            0.048436,            0.050941,           0.0044969,             0.85229,             0.73532,             0.73518,             0.35634,            0.029362,            0.062165,           0.0029737,           0.0083962,           0.0083962,           0.0083962
                  83,             0.04727,            0.050996,           0.0070928,             0.81969,             0.71506,             0.72209,             0.34073,            0.027306,            0.061727,           0.0030041,           0.0083764,           0.0083764,           0.0083764
                  84,            0.048279,            0.051841,           0.0061275,             0.82799,             0.72264,             0.71191,             0.34423,            0.030112,            0.062076,           0.0031202,           0.0083566,           0.0083566,           0.0083566
                  85,            0.046623,            0.049036,           0.0061897,             0.85918,             0.71125,             0.73713,             0.37545,            0.025929,            0.060445,           0.0029989,           0.0083368,           0.0083368,           0.0083368
                  86,            0.048353,            0.050945,           0.0053719,             0.84701,             0.71779,             0.74504,             0.38224,            0.026726,            0.061473,           0.0031534,            0.008317,            0.008317,            0.008317
                  87,            0.045034,            0.051306,           0.0043774,             0.79812,             0.70658,             0.71549,              0.3415,            0.028539,            0.061354,           0.0030478,           0.0082972,           0.0082972,           0.0082972
                  88,            0.046068,            0.051566,           0.0053324,             0.83491,              0.7356,             0.74769,             0.38647,            0.028037,            0.060512,           0.0030636,           0.0082774,           0.0082774,           0.0082774
                  89,            0.042094,            0.050525,           0.0038326,             0.84937,             0.74519,             0.75039,             0.38513,            0.027111,            0.061493,           0.0030009,           0.0082576,           0.0082576,           0.0082576
                  90,            0.042573,            0.050891,           0.0037132,             0.84508,             0.71569,             0.73352,             0.36689,            0.028064,            0.062832,           0.0029251,           0.0082378,           0.0082378,           0.0082378
                  91,            0.047004,            0.052155,           0.0046975,             0.91461,             0.74273,             0.74621,             0.38918,            0.026191,            0.060046,           0.0029469,            0.008218,            0.008218,            0.008218
                  92,             0.04756,            0.049912,           0.0041239,             0.89107,             0.73615,             0.74137,             0.38217,             0.02536,            0.060722,           0.0030315,           0.0081982,           0.0081982,           0.0081982
                  93,            0.046413,            0.047713,           0.0045441,             0.75568,             0.67239,             0.68959,             0.35442,            0.028419,            0.060773,           0.0030845,           0.0081784,           0.0081784,           0.0081784
                  94,            0.046792,            0.052431,           0.0043791,             0.92877,             0.73025,             0.74894,             0.35645,            0.028553,            0.061764,            0.002982,           0.0081586,           0.0081586,           0.0081586
                  95,            0.043749,            0.051144,           0.0041873,             0.80492,             0.69729,             0.70865,             0.34759,             0.02762,            0.062281,           0.0028052,           0.0081388,           0.0081388,           0.0081388
                  96,            0.043774,            0.050105,           0.0040473,             0.74784,             0.71737,             0.70174,             0.34789,            0.028119,            0.062677,           0.0028221,            0.008119,            0.008119,            0.008119
                  97,            0.046134,            0.049974,           0.0046696,             0.88305,             0.73274,             0.73779,             0.35469,            0.030229,            0.062436,            0.002815,           0.0080992,           0.0080992,           0.0080992
                  98,            0.043879,            0.050591,           0.0043787,             0.83083,             0.71341,             0.71746,             0.30843,            0.028273,            0.062307,           0.0028507,           0.0080794,           0.0080794,           0.0080794
                  99,            0.047189,            0.049424,           0.0040144,             0.80676,             0.68378,             0.69274,             0.29254,            0.033628,            0.064978,           0.0031408,           0.0080596,           0.0080596,           0.0080596
                 100,            0.044831,            0.050869,           0.0050122,             0.72782,             0.67167,             0.67225,             0.30498,            0.030414,            0.063978,           0.0035099,           0.0080398,           0.0080398,           0.0080398
                 101,            0.045424,            0.050149,           0.0048337,             0.82073,             0.74923,             0.72758,             0.37021,            0.026463,            0.061612,           0.0029483,             0.00802,             0.00802,             0.00802
                 102,            0.043042,            0.052216,           0.0057795,             0.82712,             0.75019,             0.73269,             0.37186,            0.026923,            0.061042,           0.0029291,           0.0080002,           0.0080002,           0.0080002
                 103,            0.044537,             0.04884,           0.0053829,             0.77543,             0.72039,             0.70254,             0.35007,            0.027238,            0.062192,           0.0029108,           0.0079804,           0.0079804,           0.0079804
                 104,            0.045747,            0.051112,           0.0042436,             0.80434,             0.72473,             0.72027,             0.34952,            0.026914,            0.061315,           0.0029749,           0.0079606,           0.0079606,           0.0079606
                 105,            0.043076,            0.050772,           0.0039171,             0.75815,             0.68651,             0.70497,             0.34236,            0.026813,            0.061141,           0.0030464,           0.0079408,           0.0079408,           0.0079408
                 106,            0.045977,            0.048589,           0.0042871,             0.86979,             0.71842,             0.72757,             0.35485,            0.026103,            0.061135,           0.0028914,            0.007921,            0.007921,            0.007921
                 107,            0.043022,            0.049257,           0.0046367,             0.78202,             0.68559,             0.68783,             0.31409,            0.030743,            0.064616,           0.0029228,           0.0079012,           0.0079012,           0.0079012
